strategy,k,median_budget_multiple_to_tv02,fraction_reaching_tv02
zip,1,,0.0
zip,3,,0.0
zip,5,,0.0
random_pairs,1,,0.0
random_pairs,3,,0.0
random_pairs,5,,0.0
random_matching,1,,0.0
random_matching,3,,0.0
random_matching,5,,0.0
cycle_chords,1,,0.0
cycle_chords,3,,0.0
cycle_chords,5,,0.0
swiss,1,,0.0
swiss,3,,0.0
swiss,5,,0.0
merge_sort,1,,0.0
merge_sort,3,,0.0
merge_sort,5,,0.0
quicksort,1,,0.0
quicksort,3,,0.007
quicksort,5,,0.007
bt_uncertainty,1,,0.0
bt_uncertainty,3,,0.0
bt_uncertainty,5,,0.0
bootstrap_inversion,1,,0.0
bootstrap_inversion,3,,0.0
bootstrap_inversion,5,,0.0
payout_opt,1,,0.0
payout_opt,3,,0.0
payout_opt,5,,0.0
explore_refine,1,,0.0
explore_refine,3,,0.0
explore_refine,5,,0.0
top_heavy,1,,0.0
top_heavy,3,,0.0
top_heavy,5,,0.0
