strategy,k,tv_at_16N,ci95,kendall_at_16N,top10_at_16N,delta_vs_zip_k3,delta_ci95,significant
explore_refine,3,0.0944,0.006,0.3994,0.5787,-0.038,0.0089,True
bootstrap_inversion,5,0.0966,0.0058,0.3628,0.6027,-0.0358,0.0088,True
explore_refine,5,0.0966,0.0054,0.3754,0.5987,-0.0358,0.0088,True
top_heavy,3,0.0977,0.0059,0.4188,0.5913,-0.0347,0.0093,True
top_heavy,5,0.1006,0.0054,0.3643,0.5693,-0.0318,0.0095,True
quicksort,5,0.1012,0.0055,0.3594,0.478,-0.0311,0.0087,True
bt_uncertainty,3,0.1026,0.0056,0.4703,0.52,-0.0298,0.009,True
quicksort,3,0.1028,0.0062,0.3956,0.4393,-0.0296,0.0087,True
merge_sort,3,0.1037,0.006,0.4092,0.438,-0.0287,0.009,True
bootstrap_inversion,3,0.1041,0.0059,0.462,0.644,-0.0283,0.0091,True
merge_sort,5,0.1062,0.0067,0.4118,0.424,-0.0261,0.0088,True
explore_refine,1,0.1069,0.0063,0.4928,0.4687,-0.0254,0.0091,True
bt_uncertainty,5,0.1096,0.0066,0.4318,0.4573,-0.0228,0.01,True
swiss,3,0.1105,0.0063,0.3668,0.426,-0.0219,0.0092,True
bt_uncertainty,1,0.118,0.0059,0.5173,0.5927,-0.0144,0.0089,True
cycle_chords,5,0.1275,0.0062,0.4921,0.4787,-0.0049,0.0097,False
random_matching,5,0.1281,0.0062,0.493,0.504,-0.0042,0.0091,False
payout_opt,5,0.1282,0.0064,0.3905,0.534,-0.0041,0.0094,False
top_heavy,1,0.1297,0.006,0.5034,0.5373,-0.0027,0.0094,False
random_pairs,5,0.1301,0.0063,0.4744,0.452,-0.0022,0.0094,False
swiss,5,0.1304,0.0086,0.3026,0.3633,-0.002,0.012,False
zip,3,0.1324,0.009,0.2014,0.454,0.0,0.0,False
random_matching,3,0.1361,0.0061,0.533,0.554,0.0037,0.0092,False
random_pairs,3,0.1366,0.0065,0.5226,0.5133,0.0042,0.0096,False
cycle_chords,3,0.137,0.0062,0.5334,0.538,0.0047,0.0094,False
payout_opt,3,0.1381,0.0064,0.4163,0.5753,0.0058,0.0094,False
swiss,1,0.1384,0.0062,0.5075,0.5593,0.006,0.0093,False
bootstrap_inversion,1,0.1439,0.0064,0.561,0.5973,0.0115,0.0094,True
zip,1,0.1461,0.0089,0.4001,0.3467,0.0137,0.0109,True
zip,5,0.1467,0.0093,0.1473,0.3733,0.0144,0.0098,True
quicksort,1,0.1564,0.0066,0.5403,0.5467,0.024,0.0095,True
merge_sort,1,0.161,0.0067,0.5622,0.562,0.0286,0.0097,True
random_pairs,1,0.1629,0.0066,0.5646,0.5807,0.0305,0.0095,True
random_matching,1,0.1634,0.0068,0.5664,0.5747,0.0311,0.0098,True
cycle_chords,1,0.164,0.0067,0.5638,0.598,0.0316,0.0099,True
payout_opt,1,0.1657,0.0067,0.4643,0.628,0.0334,0.0097,True
